Date,Open,Close,Volume (BTC)
2016-11-03,742.0,685.22,12102.2427314
2016-11-04,684.84,702.7,5345.6792147
2016-11-05,702.95,703.46,1918.31151101
2016-11-06,703.33,709.93,2292.8635227
2016-11-07,709.92,702.86,3020.87240328
2016-11-08,702.86,709.31,5526.47459343
2016-11-09,708.17,721.5,9726.2512339
2016-11-10,721.5,714.47,4996.45256408
2016-11-11,714.48,716.39,3328.33076179
2016-11-12,716.39,702.28,2811.55106984
2016-11-13,701.17,700.38,6023.54902216
2016-11-14,700.38,703.82,7566.58050969
2016-11-15,704.98,711.06,5668.93994884
2016-11-16,711.07,739.71,11585.0454182
2016-11-17,739.71,735.24,6681.43151549
2016-11-18,736.0,748.98,4271.04146281
2016-11-19,748.98,750.75,1965.43652251
2016-11-20,750.09,727.09,5525.9596111
2016-11-21,727.09,736.76,4017.57762466
2016-11-22,736.92,749.22,5034.70408511
2016-11-23,749.13,740.18,4462.77871527
2016-11-24,740.18,735.63,4039.81535353
2016-11-25,735.63,737.07,3356.08903132
2016-11-26,736.96,729.91,2314.57662144
2016-11-27,729.91,727.32,3447.86947559
2016-11-28,727.32,729.54,4741.11519229
2016-11-29,730.99,730.76,5406.90035323
2016-11-30,730.72,742.06,6249.618523
2016-12-01,742.06,751.54,6124.50185948
2016-12-02,751.55,769.99,8098.57532493
2016-12-03,770.91,760.75,2772.66124771
2016-12-04,762.97,762.0,3215.68481818
2016-12-05,762.0,750.24,5567.77285717
2016-12-06,749.51,758.98,6763.73852485
2016-12-07,758.97,763.99,4809.70777587
2016-12-08,764.05,766.84,4892.93925488
2016-12-09,766.84,769.57,2868.41656863
2016-12-10,769.57,772.28,2200.70812765
2016-12-11,772.28,768.97,1421.13041748
2016-12-12,768.97,776.9,2805.19133166
2016-12-13,777.0,775.35,4918.81400706
2016-12-14,775.75,777.09,2333.38039481
2016-12-15,777.03,775.89,3039.82232695
2016-12-16,776.3,781.32,3475.77113231
2016-12-17,781.32,788.52,2389.76188083
2016-12-18,788.3,788.67,2519.24374939
2016-12-19,788.34,791.0,3917.87027522
2016-12-20,791.03,798.65,4118.69350463
2016-12-21,798.83,832.75,9391.36496102
2016-12-22,832.02,859.96,12070.3532609
2016-12-23,858.94,914.0,16526.6287967
2016-12-24,914.48,892.61,6026.45470401
2016-12-25,892.61,890.67,4658.23642176
2016-12-26,890.65,897.1,3467.54622755
2016-12-27,897.82,930.34,7225.77311731
2016-12-28,930.34,976.47,12285.1113117
2016-12-29,976.48,969.58,7858.45685371
2016-12-30,969.99,959.54,10755.0364943
2016-12-31,959.54,966.3,4162.92129897
2017-01-01,966.34,997.75,6850.59330859
